template_name,template_language,tool,smell_type,element_name
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,trivy,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,trivy,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,trivy,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,trivy,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,trivy,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,trivy,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,trivy,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,trivy,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,trivy,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,trivy,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,trivy,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,trivy,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,trivy,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,trivy,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,trivy,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,trivy,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,trivy,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,trivy,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,trivy,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,trivy,,
template_05020_BaseInfrastructure-Linux-SaltMaster.template.yaml,cloudformation,checkov,,
template_05140_EC2-SecurityGroup-App-App1-php.yaml,cloudformation,cfn-lint,,
template_05140_EC2-SecurityGroup-App-App1-php.yaml,cloudformation,trivy,,
template_05140_EC2-SecurityGroup-App-App1-php.yaml,cloudformation,trivy,,
template_05140_EC2-SecurityGroup-App-App1-php.yaml,cloudformation,trivy,,
template_05140_EC2-SecurityGroup-App-App1-php.yaml,cloudformation,checkov,,
template_05281_cloudformation.json,cloudformation,cfn-lint,,
template_05281_cloudformation.json,cloudformation,cfn-lint,,
template_05281_cloudformation.json,cloudformation,cfn-lint,,
template_05281_cloudformation.json,cloudformation,trivy,,
template_05281_cloudformation.json,cloudformation,trivy,,
template_05281_cloudformation.json,cloudformation,trivy,,
template_05281_cloudformation.json,cloudformation,checkov,,
template_05354_cognito.yaml,cloudformation,cfn-lint,,
template_05354_cognito.yaml,cloudformation,cfn-lint,,
template_05354_cognito.yaml,cloudformation,cfn-lint,,
template_05354_cognito.yaml,cloudformation,trivy,,
